new_id,original_id,unique_idx,topic,label,TEXT
52,3839,22886,race,1,上海南京西路那边酒吧晚上很多外国人，经历过一次，真的觉得白人有点看不起中国人（或者亚裔），就是对你的态度特别轻浮，有种调戏丫鬟的感觉，令人特别不舒服。他们有种傲慢就像是你得追着舔着他们一样……当然，
53,199,33827,region,0,普通话这个是真的，身为辽宁人的我发现省内真的有好几种口音
54,4287,32852,race,0,那个人是约克大学的不是USC的。 前面有人说USC在黑人区，然后因为我在多伦多大学读书，多伦多也有个黑人区，那边有个约克大学之前发生过中国留学生被奸杀的事情，我就顺便提了一下。 碰巧下面来了个约克大学的学生。
55,3779,26711,region,0,额，为啥我的是glc就那么看不上奥迪q5l呢，看车时候同样最低配glc36万，奥迪q5l 29.8万，坐标北京，同级别差了六万！还是一个档次么！可能是恨铁不成钢吧。真是看不上
56,207,14582,gender,0,一脸侠女相
57,11613,12759,race,0,但是英国人和印度人通婚比较少，而西班牙人在美洲制造了大量的梅斯蒂索人
58,10214,26024,race,0,印象最深的是一个英剧梅林传奇 桂妮薇儿是一个黑人 亚瑟王和梅林都喜欢 我就日了
59,957,34407,gender,0,这个跟爸妈得教育有关，我独生女，我爸妈要赚钱啥的，不咋管我，我也是从小到大一个人联系老师之类的。跟你的情况很像
60,1928,16598,race,0,你的中文可真好，东南亚人吗？
61,1490,15202,gender,1,女人看女人眼光就是毒辣！
62,2881,12959,race,1,"我认识的印度人，很多都是7天无休，一年假期偶尔休几天。非常拼。中国人确实相对懒散的白人后代比较，更努力。但并不是独特现象。我不知道哪里来的自信骂人家阿三，骂人家,”有臭味的动物“。你有尝试过了解他们的文化和精神吗？"
63,551,15152,gender,1,木乃伊3对吗？把我恶心死了，又是美国佬带着中国女人打败邪恶的中国男人，wdnmd，还把我们的千古一帝秦始皇描绘成西方的邪恶破龙，wrnm[白眼]
64,3294,6408,region,0,hhh~好励志 同云南，一个人跑到青岛，不敢出国
65,7320,8215,race,1,难怪昆仑奴是黑人
66,7799,23904,race,1,"我觉得这事不是黑人的问题。,美国警察有权在自己判断有危险的时候，对嫌疑人进行击毙。,对白人也一样。,之前有新闻，一个白人女性流浪者在街边被警察盘问，因为不配合，警察掏枪了，女子高声说我是孕妇，没用，随后警察对她射击了30多枪。"
67,977,31232,gender,0,简单说，就是缺个女朋友
68,6749,2310,region,0,我是大学毕业了才知道有这么多人黑河南人0.0 我室友也有一个河南的 大学四年里根这个室友最谈得来 我觉得答主的学长说的还是有道理的 考上省重点高中之后我就再也没见过周围有地域歧视的人……
69,1380,3280,region,1,韩很精明啊，唯一的出路就是把利益与当地官僚捆绑。这下牢靠了。动韩就是动河北，谁打韩的假就是抽领导的屁股。
70,399,24193,region,1,特别恶心！！！作为一个曾经的陆地党，理智只嗑真糖不YY的陆地党，真的相信鹿“大老爷们”真的喜欢热巴呢。好在我知道鹿各种渣后，早出坑了，真是“大老爷们儿”，真“奥斯卡影帝”，真是北京老爷们被黑的最惨的一次:) 恶心 下作
71,7481,3389,race,1,黑人在美国锤黄种人就算了，竟然还中国的土地上歧视中国人。[捂脸]
72,1612,6242,region,1,如果有人说河南人偷井盖，并且这是事实，请问河南人是该把这人打死还是该去抓偷井盖的？你的世界观才是奇葩下限。而且后面这半段逻辑水平奇烂，我都无从吐槽。省省吧，没的聊。
73,5530,10395,race,1,黑人的好吃懒做不是世人，强行安给他们的名声。
74,12287,24252,race,0,哈哈哈。其实不是，我基本不拉黑人。到我会杠到底
75,2720,25241,gender,0,真相了哈哈哈，不知道比宅男强多少
76,2907,13273,region,1,赵有什么演技，不过是台湾言情剧那一套，看着dou恶心
77,2776,226,gender,0,看样子是我太长时间内上网了，竟然贤惠是个不好的词了。
78,4276,16208,gender,0,佬好有女友否俺可一试
79,5790,22965,region,0,上海49年之前也曾经有相当强的文化影响力---- 电影歌曲基本是国语的。上海人49年以后到香港也是拍国语电影的。国家标准语的选取一般是看行政地位，确实和经济不直接挂钩。
80,11916,22164,race,0,印度人不需要对付，印度人多的科技企业都开始下坡了，他们的抱团主义对中国人乃至华人的崛起是助力。。。
81,2219,37026,gender,0,女孩子还是车瞎练
82,2648,21175,region,1,题主至少在好好说话，答主是想表达河南人的素质不会好好说话吗lol
83,3317,33268,race,1,你可以担心担心被黑人强奸
84,2880,32525,region,1,然后你就因为某些无脑的言论而贬低了所有的上海人，你的行为和被你恶心到的那位有什么区别？
85,8132,3872,race,1,不不不，在美国阶级是一回事，最恶心的是他们把歧视亚裔当作政治正确。不管你阶级咋样，只要你是亚裔，done
86,5885,13728,region,0,湖北也常用搲物，还有舀水用dou阴平，不知何字。
87,1477,34334,region,0,明明是四省省会苏南苏北安徽台湾
88,6120,4354,race,1,昆仑奴不是来自昆仑山，而是昆仑岛。在斯里兰卡。 既然是奴，贩卖来的，是不是黑人跟中国人没有任何关系。
89,906,26282,gender,0,上次我外甥女换牙我也是这么干的就剩一根小肉丝了一直喊疼
90,1937,16018,region,1,因为日本没威胁了？中国形象不好是因为美国一直宣扬中国威胁论？基本香港回归之后 美国已经发现中国威胁大增吧？
91,611,2428,region,0,我也是广西人，桂云贵有很多犄角旮 的地方，闭塞也穷，家里人从小就怕我被拐去，我们还是南宁市内的，治安按理说相对好点，但也听说有被拐卖的事例
92,1299,29235,gender,1,同感，男人小心眼才是真的恶心
93,1562,5723,race,0,小提琴作为EC的获奖级别也很重要啊，当然前提是有优秀才艺的学霸，如果祖上有渊源，定期捐款也会照顾。其实AA录取政策对西人的伤害远大于亚裔，但西人整体比较大度，全美排名2、30名的学校，差别不大，他们会更多考虑别的因素，并不有多么迷恋Top 5。
94,5225,33589,region,0,有空找人替你表达不满不如想想为啥说话没人听吧。 不过这么说起来，好像我见过的辽宁人基本都跟黑吉人混得很开，可能你跟答主在现实中也是比较少见的吧。
95,7765,27693,race,1,真的感觉以后打架或者要保护别人的时候，就应该像那个黑人男一样猛。
96,4851,17651,region,0,为什么数字记法传到阿拉伯半岛，传到欧洲，传到东南亚，西藏，却没传到中国产生汉文数字呢？
97,3966,31531,region,0,怀念美食啊 我也黑龙江哒
98,1132,29795,region,1,厉害厉害 心疼你 天津试点确实恶心
99,2931,19320,region,1,新疆人？你们家是卖羊肉串的，还是卖切糕的？不会是东突吧？
100,694,33287,region,1,这事里第一恶心的就是各种踢皮球不作为的派出所，第二才是银行。你个人搞it，逻辑思维强，老婆懂法律，人又在北京，这么多有利条件加起来，然而也花了三个月。完全不敢想没有你这些条件的人在中国办这类事会花多长时间
101,7008,23536,race,1,歧视黑人叫政治不正确
102,2738,24276,race,1,女权吧越繁荣，说明中国底层、受教育低的怨妇越多。真在社会上努力工作的女人，还没low到要去女权吧
103,5103,22180,race,1,我就是种族歧视，专门歧视黑人和白人，
104,11644,2480,race,0,很多姑娘不管你是白人黑人只要是外国人她就觉的高大上，倒贴也要往上送。
105,10014,26826,race,0,84的，也不是什么秘密，阿联身体素质还是很劲爆的，黄种人里的顶级，就是没有像姚主席一样融入NBA文化里，不然至少能混个中产
106,2222,15435,gender,1,男人出轨下面出现一大片男人出轨真的恶心，男人都不是好东西之类的言语时也没见你们这些卫道士。
107,2052,23988,region,0,这是地域歧视么？你看我歧视过任何一个河南人吗
108,13128,27796,race,0,起点还有个不错的同人文，我看到说赫敏是黑人就直接弃了，接受不了
109,9470,3351,race,0,我觉得是印度人看到外国人都很好奇。有点像咱中国小城镇里出现一个金发碧眼的老外，也会被围观吧
110,8818,28590,race,1,照你这么说，那老外的种族歧视是不是也有道理？人家不也说过的是部分中国人的真实行为么？老外弄个小眼睛画像辱华是不是也有道理？中国人不也有小眼睛的么？反正说的是群体里的一部分么。那些也是针对部分中国人呗？您真觉得您这么说就园回来了？
111,3328,29632,region,0,想考云南大学来着，生物学很抠，那其他呢？
112,4107,30193,region,0,内蒙古呼伦贝尔准高三理科生路过
113,1600,32212,region,1,同河北！握个手，每次都因为这个吵架，总感觉屁本事没有，折腾起人，摆架子到时挺在行！简直给我恶心不行！
114,2424,1151,region,1,你怕是忘了你上海大妈打警察了虽然被抓了，但也被举报暴力执法。中国警察好不好欺负不说，但是很多人把自己当弱势群体欺负警察的也不在少数。
115,283,23384,region,1,这没有任何提示都能黑东北人，您内心是有多阴暗
116,6115,1329,region,0,对对对宁夏的凉皮真的超好吃！从前住西安 一直对凉皮啥的不感冒一直不吃 直到去宁夏才突然爱上了...手抓羊肉也好吃！
117,1110,21985,gender,0,如果女友是爱你的，一定希望你好好活着，忘了她吧，寻找属于你的幸福，你还年轻
118,3706,14377,race,1,居然能脑补出黑人的口音
119,2160,3237,gender,1,插入是既遂与未遂的区别，不是罪与非罪的区别，就算没插进去，照样可以定强奸罪。违背妇女意志，通常是通过各方行为、当时情境来确定。
120,3948,32733,gender,1,请问男二婊在哪里？为了给男一洗白，逻辑都不要了？你未成年吧
121,2633,22618,gender,1,差距真特么大还歧视男性[微笑]
122,1295,1883,race,0,这场封神，黄种人巅峰，也是易建联巅峰之战，前无古人后无来者。希望有来者。
123,6107,21788,race,1,我不是种族主义者，我只是讨厌黑人。 我讨厌两种人：种族主义者和黑人。 你出门记得别说自己是中国人，不然让别人讨厌中国人就麻烦了
124,6799,9238,race,1,娘怎么就是贬义词了?真有男生像女孩子我觉得也不能就这样黑人家吧。这放在学校不就是校园暴力了?
125,5133,34572,region,0,郑大对河南人投档线都六百多，完全不照顾，所以说贵大给贵州人机会反倒让你们看不起他，以后贵州发达了，考这里的人多了，贵大自然不会照顾当地人了，以后分数线也向六百看齐，估计过几年贵大认可度会提升起来
126,7790,3929,race,1,不敢苟同，人类最初驯化狗的初衷已经与现在领养狗的想法大有不同了。欧洲人把黑人奴役到北美是个残忍的开始，但我请问你，对于现在居住在北美的黑人来说，这个奴隶贸易对他们来说是好是坏？
127,4795,2220,gender,0,瘦的时候很漂亮，再胖也是个小美女，虽然她已经挂了但是后面所见没有一只比她漂亮
128,3692,30661,gender,1,在我看来，T所在的位置大部分就是照顾的那一方，P大部分是被照顾的那一方。
129,2070,23204,region,1,你这喷子，就知道胡喷我就问你，黑水是不是雇佣兵组织？他在中国开没开分公司？在新疆和四川建没建基地？中国没有外籍雇佣兵吗？
130,2824,22869,gender,1,女拳盛行等于男性歧视。
131,3006,9322,gender,0,女神的脸真的是！没！得！说！用上所有形容美的形容词都不过分啦！！
132,9285,11307,race,0,嗯，很神奇，神奇的好莱坞拍出神作《黑人的命也是命》，神奇的新闻联播居然拿来当新闻播。
133,5761,31814,region,0,别这么说，他是台湾的，咱们理解有偏差
134,3079,6915,region,1,不关心农村通信建设就是自私？上海房价挺高的，我觉得压力山大，你怎么不关心援助下我？都是中国人，你怎么对同胞疾苦如此漠不关心？你不觉得你这样很自私？站在道德制高点说别人怎么样，你自己有好到哪里去？
135,12553,2183,race,0,他很多歌啊，黄种人那会儿他已经不怎么火了
136,4825,23440,race,1,"知乎删评论很及时啊,嘿za-zhong,百p-iz-hu,为啥还发不出去？,我就是歧视黑人"
137,4542,29164,region,0,有幸在她出名那部太子妃的剧组探班一周，看着导演一步一步怎么教她演戏，演技，呵呵，包括在重庆拍的电影，她也是演技最差的。怎奈，她就是上镜啊。但就别谈演技了，至少，目前，她，没有。
138,3515,18482,region,1,没歧视啊，这个就好像我们喊老外外国佬，喊上海人上海佬一样。怎么在你眼里什么都是歧视，说什么都是歧视，太可怕了，聊天都觉得负能量满满哈哈
139,6719,30845,race,1,题主被种族歧视了，题主讨厌他们反而还错了起来，就许他们歧视中国人不许中国人讨厌他？
140,3430,2610,race,1,"欧美大国，基本都是「民族国家」。,你以为美国是移民国家？那是假象！,美国的核心是盎撒+犹太。,其他不过是工具和奴隶而已。,种族歧视的根源是什么？,种族歧视的根源就是：,满身种族歧视原罪，几乎杀光当地原住民，"
141,312,33826,race,0,还有我白嫩嫩的越狱男神温特沃什·米勒。温爸黑人，温妈白人，小温迷人[开心]
142,3124,17629,race,1,我记得有个在美国留学的中国人，跟美国同学吵架，说了一句卧槽nm，然后美国同学一愣，
143,8357,7260,race,1,以前美国一个全黑人主持的节目，主持人想表达亚裔男恶心，他的话大意就是广大的黑人同胞妹子们，如果有亚裔男想追你们千万不要答应啊。
144,1107,23669,region,1,为什么你这么好的女孩儿竟然会被这种恶心的女生这么对待呢？还好你带的是馕，我是山西人，我要是带了醋还被这样的人bb，我直接泼她脸上了就
145,3034,32757,race,0,所以，请记住，留学资助与文化渗透是一本万利的事情。，，，，，，，，所以我们那么多黑人留学生就有了合理解释
146,2896,5458,race,1,就没想过让日本人喜欢我们，这是世仇，不指望继续仇视，
147,2735,12791,race,1,不看知乎不知道中国这么多男性有性别优越感，不看知乎不知道中国这么多男性觉得男人仇视女性，不看知乎不知道女性合理权益原来被这么多男人歪曲，不看知乎从没想过中国女权斗争任重道远
148,11826,18509,race,0,现在教育部又加大力度招收黑人留学生和奖学金了，之前5到10万，现在更多，并且全面放开补贴留华政策和费用，方便移民。
149,8797,14963,race,1,唉，好难受。西方价值观渗透真是无孔不入。黑人在华真的被歧视了？像在美，被白人打杀？为啥不保护穷人？穷人才是鄙视链下游吧。都不允许民众，在网上口嗨？
150,1172,11398,region,0,"天津的,我老师昨天开会还说来着,跟领导申请回实验室取东西,领导都没答应"
151,10604,30007,race,1,他是因为垃圾被打死的吗？结果论？结果就是一个黑人在没犯罪的前提下被打死了。
152,2305,20865,region,1,作为广东人的我恶心你，抠脚大汉
153,274,6904,region,1,天天黑我们大东北，要是东北人跑去做骗子，更多人就容易中招了吧
154,2263,13617,gender,1,一般的彩礼倒也无所谓，农村卖女儿的天价彩礼就很恶心了，总说男性物化女性，其实呀，最物化女性的，是她们的爸爸妈妈
155,2493,36591,gender,1,女人的家人，能管她死的事，为什么不管管她出轨的事？觉得事不够大？还是女的能给他们钱，没钱了，才出来说话？
156,1428,21179,region,0,云南紫外线太强了，大部分女生皮肤都不好还黑！一黑毁所有，唉
157,6435,26952,region,0,我小时候我们当地传谣言，说有得艾的新疆人把血滴在羊肉串上恶意传播艾滋，当时我才上小学真的信了。现在想想对8起各位新疆羊肉串大叔qaq…人啊还是多掌握一些知识的好
158,12023,30641,race,0,我姐隔壁的邻居是一对黑人夫妇，找了一个河南的保姆照顾孩子，然后孩子只会说河南话不会说英语，哈哈哈哈哈，嗝。
159,11633,4448,race,0,歪个楼，Daniel妈妈的确是南美人，只不过长得有点像印度人而已～
160,5268,7385,race,1,亚裔互相歧视，反而是白人歧视亚裔相对少
161,4614,10948,gender,1,而且，你们骂所谓的eazygirl本身，就是在干涉女性的性自主权
162,2399,1456,region,0,东北林业还是挺NB的吧？
163,878,11752,region,1,保安跑去打架？你这想象力也是丰富的很啊。某人说父亲被打忍不了你就信了，球迷说保安被打你就真实性存疑，双标玩得漂亮！记者还说郭父打人打得欢，你对这个的真实性怎么看？反正辽宁人的父亲打不得，四川人的父亲随便打对吧
164,8447,3205,race,1,歧视黑人，不是物种歧视吗[好奇]
165,11791,23342,race,0,现代罗马人应该是地中海流域各民族在各历史时期大融合的产物吧。早先地中海东岸来的开垦智者，古罗马帝国周边的移民 ，日耳曼入侵 维京人 阿拉伯人 非黑人 等等。
166,4419,10190,region,0,我今年考了江苏省考，132.1，排名23，哈哈哈哈哈，你都上岸了
167,1762,6259,region,1,全国人都骂山东狗名声臭和河南人一样名声最臭不是意外。
168,8007,6060,race,1,"我也是,看见网上黑人怎么怎么样,我可是一点也不悲悯,就觉得挺惨的,大部分黑人来到中国什么做派什么素质,会对这个地方产生什么影响,大家心里都清楚,我就很好奇那些网友为啥要支持黑人,这和我们有啥关系,就和隔壁村的一家两口子打架,你非得过去站个队"
169,3901,4225,gender,1,想了老半天什么叫女性拥有男性没有的生育能力？男人没有女人生不出孩子，女人没有男人可以生，是这样吗？
170,649,33220,gender,0,对赐我一个京极真般的男朋友吧
171,1138,35204,region,0,算上湖的话中国也比美国大 不算湖中国还是美国大 有钱去趟新疆内蒙古
172,1254,31871,gender,1,她身为女人真让人恶心！
173,44,5967,race,1,工作以后发现职场的性别歧视可以说是明目张胆的程度，面试的时候同等条件会优先录取男性，女性一旦怀孕会面临失业的风险，好的工作机会和晋升机会也会优先考虑男性，等等诸如此类，
174,3428,5703,race,1,这明显是美国白人警察，暴力执法，种族歧视，
175,5818,5252,race,1,黑人的现状和受压迫的历史不无关系 他们的生活环境绝大部分是因为过去的歧视造成的 答主还是应该避免把对个人的评价上升到群体层面
176,622,5796,region,1,半年前东北还是地痞流氓，打架惹事，黑社会的代名词，现在又变可爱了？用到了是好，用不到就是坏？拿18年的事出20年的气？太讽刺了，真正爽了的只有地域黑而已。希望各位擦亮眼睛。
177,4159,23570,gender,0,有女王胸部的截图吗？
178,1346,1831,gender,0,小时候就觉得那些小姐姐好美啊。直到高三那年 翻唱了女儿情，当时听女儿情都听哭了。于是在周日的那半天假期看了女儿国 从女儿国国王做梦那儿就看哭 分别时更甚
179,146,19327,gender,0,少女革命和维多利加尊是时代之泪...维包多可爱耶
180,3967,3365,region,0,黑龙江路过，我们那也叫黑呦呦
181,3061,10979,gender,1,会一辈子活在性别焦虑里，严重影响工作学习效率，还有可能会莫名其妙的自闭，因为认同问题而远离社交活动。
182,2637,36772,gender,1,你这是物化女性吧？我怎么感觉你的意思是女性婚后生孩子没有钱拿就是亏了呢？
183,1780,3201,region,0,后边舜平那一段老版也是那样的。主要是为了上星把道明寺真霸凌的情节都删了，但是杉菜还是按照老版那么怼人，情节上完全不平衡了。我现在就是为了能看到杉菜和道明寺能圆满的结婚而努力快进着看。毕竟台湾版的第二部简直是我心头一根刺，想想都气的心疼。
184,240,4627,region,0,真的，作为山西人，从出来上学那年开始，我就没吃到过满意的面 开始极不适应 后来时间长了也就那样了
185,1467,15347,region,1,贴标签？地图炮？河南人都偷井盖？恕我直言，用一两个标签定性概括一整个群体的，统统都是腊鸡
186,3606,33425,gender,1,你们女生真的复杂。 一个个内心戏都贼多... 心疼你们一波。
187,2605,30494,region,1,笑死，落后地区的二本能和发达地区的二本比较？！吉大和东北师大竟然还能叫文化底蕴深厚？！你来过江浙沪没？！
188,9342,8903,race,0,答主就是在那里读的书…且在南城给黑人提供过社工服务，谢谢
189,3700,5185,region,0,人家说的是青海……祖国西北 青藏高原。。。不是山东青岛？。。。
190,6758,4465,region,0,我很怀疑你是不是真的玩毒奶粉，勇士们基本都是说一觉，2觉。还有一个读大学的女生确实要为自己的言行负责，她那句话和“河南人都偷井盖”差不多性质。还有我觉得dnf主播们的西装行动挺好的，理性抗争。
191,10927,8559,race,0,这个玩笑一点也不好笑，勤劳适应能力强正好是黄种人最大的优势。
192,2328,23649,gender,0,。。。我就是因为lex有侮辱女性的话取关的他他啥时候成了为女性发声了。。。。。。[捂脸][好奇]这啥情况
193,5853,4590,region,0,别说香港，翻唱养活了绝大多数香港歌手
194,3929,788,race,1,"二战前德国调查、记录所有犹太人学校，战争爆发后犹太人一个也逃不掉。,白左针对亚裔推行的细分法，满眼的犹太人既视感，接下来的剧情就是白左新纳粹+黑命贵+拉丁人，将亚裔送进洗澡房，满满的恐怖剧节奏。,亚裔们可要想清楚，"
195,49,7157,region,0,其实你不去云南旅游也就没这些事了，中国这么大哪不能去？
196,3064,28553,gender,0,或者是小伙子自我认知不对？这点屁事都能挂网上，挺佩服那女孩子的眼光的
197,11042,9939,race,0,那是俄罗斯走向现代化了，压得蒙古抬不起头，蒙古是黄种人，俄罗斯是白种人，蒙古自然会倒向满清
198,2708,36203,gender,1,不知道这种公开侮辱女性的言论竟出自一个叫兽的口还上了央视还有把图贴出来的答主竟然会有人赞最后竟然也有在评论里附和的人
199,1645,33930,region,0,新疆大学进B不一定是坏消息，也可能是好信号。宁夏大学也没进吗
200,1343,339,region,1,不是河南人，一直没搞懂为什么有那么黑子黑河南，今天才算明白河南兄弟姐妹们的委屈了。中华民族要团结不是说说的，地域黑的人真不知他们的居心何在……
201,575,36695,region,0,我相信有这种人，我们东北也有会帮人看的。
202,1162,26476,gender,0,玫瑰家应该动员不了高庭所以的军队吧；另外很好奇多恩的情况，三个私生女谋杀了统治多年的正统道朗亲王，难道亲王的属下不报仇？还有其它旁系不出兵杀三个沙蛇以此夺位？
203,1740,5269,gender,0,羡慕，我也想找个会做饭的女朋友
204,3525,24862,gender,0,如果你说某个省的人都是自私、强势、脾气差、不讲道理的人，这个省的人会立马说我们不是这样的。
205,12206,4250,race,0,水浒和三国都有黑人啊，李逵和张飞。哈哈哈哈
